tên_sản_phẩm,giá_hiện_tại,giá_gốc,khuyến_mãi,đánh_giá,link_sản_phẩm,brand_id,series,genre_name,công_nghệ_cpu,số_nhân,số_luồng,tốc_độ_cpu,bộ_nhớ đệm,ram,tốc_độ_bus_ram,màn_hình,độ_phân_giải,công_nghệ_màn_hình,đồ_họa,webcam,kích_thước,thông_tin_pin,hệ_điều_hành,cổng_giao_tiếp,kết_nối_không_dây,tính_năng,tốc_độ_tối_đa,loại_ram,ram_tối_đa,ổ_cứng,tần_số_quét,card_màn_hình,âm_thanh,chất_liệu,ra_mắt,đèn,bluetooth,năm_sản_xuất,đèn_bàn_phím,vỏ_nhựa,tên_hãng,nguồn_bán
HP Pavilion 15 eg3094TU i5 1335U (8C5L5PA),17.390.000₫,19.990.000₫,-13%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3094tu-i5-8c5l5pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz,3200 MHz,16 GB,,15.6 inch,45% NTSC,,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - Nặng 1.69 kg,45 W,2023,1 x USB Type-C,,,12 MB,,,,,,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg2035TX i5 1235U (6K781PA),17.190.000₫,20.590.000₫,-16%,37,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2035tx-i5-6k781pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,10,12,1.30 GHz,12 MB,32 GB,3200 MHz,15.6 inch,,,NVIDIA GeForce MX550,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"3 cell, 41.04 Wh",,,,,,,,,,2 GB,Audio by B&O,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg2036TX i5 1235U (6K782PA),17.190.000₫,20.590.000₫,-16%,16,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2036tx-i5-6k782pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,10,12,1.30 GHz,12 MB,32 GB,,15.6 inch,,,NVIDIA GeForce MX550,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"3 cell, 41.04 Wh",,,,,,,,Không có,,2 GB,,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),15.790.000₫,18.790.000₫,-15%,14,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,12,16,1.70 GHz,12 MB,32 GB,3200 MHz,15.6 inch,,,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,"3 cell, 41.04 Wh",,,,,,,,,,,,,2022,,,,,,HP,TGDD
HP Pavilion X360 14 ek0130TU i3 1215U (7C0P5PA),14.590.000₫,16.590.000₫,-12%,3,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0130tu-i3-7c0p5pa,1,Pavilion,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,TGDD
HP Pavilion X360 14 ek0131TU i3 1215U (7C0P6PA),13.590.000₫,16.590.000₫,-18%,6,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0131tu-i3-7c0p6pa,1,Pavilion,Laptop,Intel Core i3 Alder Lake,6,8,1.20 GHz,10 MB,,3200 MHz,14 inch,,,Intel UHD Graphics,,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.517 kg,65 W,,,,,,,Không hỗ trợ nâng cấp,,,,Audio by B&O,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg3098TU i3 1315U (8C5L9PA),13.590.000₫,15.290.000₫,-11%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3098tu-i3-8c5l9pa,1,Pavilion,Laptop,Intel Core i3 Raptor Lake - 1315U,6,8,1.20 GHz,3200 MHz,16 GB,,15.6 inch,45% NTSC,,Intel UHD Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - Nặng 1.68 kg,45 W,Windows 11 Home SL,,,,10 MB,,,,,,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg2062TU i3 1215U (6K790PA),12.390.000₫,14.990.000₫,-17%,18,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tu-i3-6k790pa,1,Pavilion,Laptop,Intel Core i3 Alder Lake,6,8,1.20 GHz,10 MB,32 GB,,15.6 inch,,,Intel UHD Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,65 W,,,,,,,,,,,,,2022,,,,,,HP,TGDD
HP Probook 450 G10 i7 1355U (873D3PA),24.490.000₫,26.990.000₫,-9%,,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa,1,ProBook,Laptop,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz,3200 MHz,32 GB,,15.6 inch,45% NTSC,,Intel UHD Graphics,,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - Nặng 1.79 kg,65 W,,,Bluetooth 5.3,,12 MB,,,,,Iris Xe Graphics chỉ hoạt động với RAM kênh đôi,,,2023,,,,,,HP,TGDD
HP Probook 450 G10 i5 1335U (873D1PA),20.290.000₫,22.590.000₫,-10%,,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-873d1pa,1,ProBook,Laptop,Intel Core i5 Raptor Lake - 1335U,,,1.30 GHz,12 MB,32 GB,,15.6 inch,Full HD (1920 x 1080),,Intel UHD Graphics,,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm - Nặng 1.79 kg,65 W,Windows 11 Home SL,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 2 x USB Type-C, 2 x USB Type-A",Bluetooth 5.3,Có đèn bàn phím,,,,,,,,,,,,,,,HP,TGDD
